region_name,competition_year,id,name,short_desc,long_desc,eligibility,video_url,created_at,updated_at,sponsors
Australia,2019,125,Training AI models to deliver better human outcomes,For an outcome create two AI models based on contrasting incentive systems and examine the differing impacts on the defined outcome. ,"Most uses of AI today are in the pursuit of a goal without clear and consistent incentives or limitations of power. In this challenge, we want to see how different incentive systems lead to better, or worse, human outcomes.  

We want to examine clearly distinguishable incentive systems and quantify the effect of these approaches on citizens.

Teams must choose any open dataset and apply their models to an outcome for citizens.

Then define any two different incentive systems such as economic, human or environmental measures. For instance, traditional financial incentives (more is good) vs the NSW Government Human Service Outcomes Framework (https://www.facs.nsw.gov.au/resources/human-services-outcomes-framework) or the New Zealand Living Standards (https://treasury.govt.nz/information-and-services/nz-economy/living-standards). 

You can use one of these or make up your own, we just want to see, when set with a common challenge, whether different incentive systems get different results. 
",Must make use of any open dataset and apply two different incentive systems,"",2019-09-06 04:18:06 +1000,2019-09-06 04:18:06 +1000,"[""Department of Customer Service""]"
New South Wales,2019,134,Ultimo: what are the building blocks of an innovative precinct?,"What makes an innovative precinct? With huge infrastructural developments in the Ultimo community changing the way people live, work and play in and around the Ultimo area, how might we more accurately predict what the precinct will need in the future to ensure it is a hub for innovation, creativity and entrepreneurship? ","Over the last 10-15 years, the Ultimo precinct has undergone considerable change. The building of a number of large UTS developments such as the Frank Gehry building, and the brand new UTS Central, as well as the redevelopment and re-opening of The Goods Line in 2015, must have had considerable impact on the way that people interact with the area. What can the available data relating to this area teach us about the impact of these changes, and how we can continue to build towards the vision of Ultimo being a hub for innovation, creativity and entrepreneurial activity? ",Use any open dataset to support your entry.,"",2019-09-06 04:44:18 +1000,2019-09-06 04:45:30 +1000,"[""University of Technology, Sydney""]"
Victoria,2019,150,🌟 Unearthing Victoria – telling stories of the past that speak to the problems of today,What interesting and useful stories can we tell about places in Victoria using the digitised historical business listings from the old Sands and McDougall directories (available in Victoria Unearthed) and other historical data and information sources?,"What interesting and useful stories can we tell about places in Victoria using the digitised historical business listings from the old Sands and McDougall (S&McD) directories (available in [Victoria Unearthed](https://mapshare.vic.gov.au/victoriaunearthed/)) and other historical data and information sources?

What makes an “interesting and useful story” is deliberately open-ended, but requires a rationale for why the story is interesting and useful. It could be, for example:

- What business activities may have occurred at this place, and does this have implications for the present day (e.g. possible heritage value, potential legacy contamination, other facts of note…)?
­    - For example, which locations/areas are most impacted by potentially contaminating industries of the past, and where is the greatest risk? 
- What can we learn from patterns of past business development that may be of relevance for today? 
­    - For example, how does the data show the interaction between industries and population and how it changes through time?
- What can the data tell us about the growth and decline of specific industries over time, including any current implications?
- Or … anything else that speaks to a current issue, concern or interest.

Submissions that will appeal to the judges may involve:

- A mobile-friendly approach to accessing and viewing place-based data;
- Solutions that help improve the S&McD dataset, such as: improving the accuracy and precision of the location data; linking to other existing data sources; or allowing users to add or correct information (e.g. ‘crowdsourcing’)
- Mining the S&McD data for “interesting and useful stories”
- Something really brilliant that the judges hadn’t even considered – feel free to blow our minds!

#### Data and Posters
https://drive.google.com/drive/folders/1D0Yj4-Lr-P2XEzuv4L2M_sEBhkCGUtem","The winning entry will use the Sands and McDougall (S&McD) dataset (mandatory); (optionally) use or link to other data and information sources (particularly if it complements or improves the quality of the S&McD dataset); be able to tell an “interesting and useful story” about a location or area (this is deliberately open-ended, but requires a rationale for why the story is interesting and useful)
",https://www.youtube.com/embed/TIBUAzPuU3Q,2019-09-06 05:30:47 +1000,2019-09-06 05:31:05 +1000,"[""VIC DELWP""]"
Queensland,2019,142,🌟 Unearth references to Indigenous agricultural practises by searching archival records,"There is increasing interest in foods that were grown on this continent for millennia, awareness of Aboriginal farming practices, and the history they reveal about Australia pre-colonisation. This challenge is to search Trove for descriptions of land care, cropping, harvesting and food storage, to add to the bank of knowledge of Aboriginal farming.","There is increasing interest in foods that were grown on this continent for millenia, awareness of Aboriginal farming practices, and the history they reveal about Australia pre-colonisation. 

“*It was a very inconvenient truth that Indigenous Australians lived in permanent structures and in large communities, built dams and wells, planted and irrigated and harvested seed, and preserved and stored the surplus.*” Bruce Pascoe, **Young Dark Emu** p9

Cultural knowledge of cultivation, harvesting, and food preparation passed on through oral traditions was also documented by European explorers and settlers in journals and diaries. 

This challenge is to search Trove for these early descriptions of land care, cropping, harvesting, fishing and food storage, to add to the bank of knowledge of Aboriginal farming. Trove has a well-documented API which could be used to unearth references to these agricultural activities. Searching Trove may result in finding previously unknown references, leading to a better understanding of how people lived.

Showcase this bank of knowledge.

Please refer to https://www.firstlanguages.org.au/resources/reporting when including Aboriginal and Torres Strait Islander languages in the project.",Must use Trove,"",2019-09-06 05:06:08 +1000,2019-09-06 05:10:04 +1000,"[""The University of Queensland""]"
Victoria,2019,146,🌟 Visualising the soil quality of Victoria,"Agriculture Victoria have years of meticulously collected soil quality information. This wealth of data is an incredibly rich resource for farmers, industry and researchers who make decisions based on what’s on, or under, the ground. This might include ecological planning, bushfire mapping or deciding on next generation crops. How would you represent this data to help decision makers?","Universally, farmers, researchers and members of the agribio industry need to know ‘what’s the nature of the soil at this location’? Is it sandy, organic matter rich, full of clay? Their reasons for asking it are varied and may be for short or long-term projects. By accessing accurate, easily digestible information it may make a world of difference and  help make better, faster, more sustainable and generally better-informed research, planning or investment decisions.

For inspiration you can take a look at: 
http://agriculture.vic.gov.au/agriculture/farm-management/soil-and-water/soils
http://agriculture.vic.gov.au/agriculture
http://agriculture.vic.gov.au/agriculture/farm-management/soil-and-water
https://www.qt.com.au/news/telling-the-story-of-soil/2783191/
https://www.theland.com.au/story/4731883/australias-soil-whisperer/
https://www.healthysoils.com.au/about
",The use of the Agriculture Victoria Soils API on developer.vic.gov.au,"",2019-09-06 05:18:26 +1000,2019-09-06 05:18:26 +1000,"[""DPC VIC""]"
Australia,2019,117,Water – From source to tap.,"Ideas to engage upper primary and lower secondary school students (with advantages for community learning) in learning about the water cycle (source to tap). We want them to understand where water comes from (sources), the different types of water (drinking, recycled, classes of water), how and why it is treated (health), how we move it (infrastructure) and how we use it (drinking, cooking, commercially, fires, toilets, sanitation, washing, in the home). The ideas should highlight why water is so important for our survival. Ideas should be fun, interactive and educational. The engagement should be relevant to the Australian School Curriculum, adaptable to water organisations and schools around Australia and sustainable.","We would like to generate ideas to design an educational tool for upper primary and lower secondary students (where possible additional opportunity for community learning) to teach them about every aspect of the water cycle:
1. Where water comes from – how it gets to your home/business – how it is returned to the environment (water cycle)
2. Water source in our catchment areas (including the water cycle)
3. Water from alternative sources (e.g. desalination, bores)
4. Catchment to treatment plant
5. Treatment process
6. To our taps
Some places source water from bores, dams, and reservoirs and in parts of Australia, water is sourced from treated seawater at a desalination plant. Some add treated wastewater back into underground storages to be eventually used as drinking water. Some catch water in reservoirs. 

(The following does not form part of the challenge: Participants are invited to take a short video/photos of themselves undertaking our challenges and post on Instagram #centralhighlandswater)

Our judging panel includes
Mr Anand Arivukkarasu, VP Product, Grin (Silicon Valley startup) and previously well-known Product & Growth Leader at Facebook from California USA
",Eligibility Jurisdiction - Australia only,https://www.youtube.com/embed/chIOaYDwkFU,2019-09-05 17:47:54 +1000,2019-09-06 13:56:32 +1000,"[""Central Water Highlands""]"
Australia,2019,116,Waterwise,How can we protect and preserve our water resources?,"Queensland has roughly 68 large dams, 261 small surface water storage's and 179 large river systems.

Over 60% of Queensland is currently in drought.

The Great Artesian Basin covers 1.7 million sq km and holds 64 cubic kilolitres.

Water demand is increasing with population growth, changes in economic growth and pollution.

#### Extra Resources
https://data.qld.gov.au/article/news-and-events/govhack-2019-challenges/waterwise  

Other Resources
1. Water use and monitoring - https://www.qld.gov.au/environment/water
2. Queensland Globe - https://qldglobe.information.qld.gov.au/
3. Water Catchments and Planning - https://www.business.qld.gov.au/industries/mining-energy-water/water/catchments-planning
4. WaterQ – A 30 year strategy - http://www.agriculture.gov.au/water/national/great-artesian-basin
5. Great Artesian Basin - http://www.agriculture.gov.au/water/national/great-artesian-basin
6. Dams and water storages 1990 - https://data.gov.au/dataset/ds-ga-a05f7892-b795-7506-e044-00144fdd4fa6/details?q=water
7. Water planning framework - https://www.business.qld.gov.au/industries/mining-energy-water/water/catchments-planning/planning
8. DNRME Water Plan Map - https://www.dnrme.qld.gov.au/online-applications/water-for-queensland/map
9. Rural Water Management Program - https://www.dnrme.qld.gov.au/land-water/initiatives/rural-water-management
10. Water Pollution - https://environment.des.qld.gov.au/water/monitoring/





","We suggest you consider using the Queensland Government open datasets on
https://data.qld.gov.au/

",https://www.youtube.com/embed/3AZNqXeD4c4,2019-09-05 16:17:12 +1000,2019-09-06 23:07:57 +1000,"[""Queensland Government""]"
New South Wales,2019,135,What are the key levers that can be affected to ease congestion in NSW?,"Using open data and other data sources, what can you infer that can be changed by Transport for NSW to help ease congestion?  This can be congestion from people, cars, train passengers, on a platform or queuing for a bus or just generally on a road.  
What has happened in the past?  What information can we provide customers, bus drivers or employers to assist in easing congestion?  
Note: this is not just road congestion.  It can be viewed holistically or at a microlevel – for say an intersection.  ","",Use of open data or other data.  Please reference what datasets you have used (or would have to use) for your solution.,"",2019-09-06 04:47:03 +1000,2019-09-06 04:47:03 +1000,"[""Transport for NSW""]"
New South Wales,2019,131,🌟 What's the coolest way to travel across the city?,"Using datasets which map urban heat and green cover across Greater Sydney, we challenge you to develop a tool which visualises green routes through the city. Help people avoid urban heat and move across the city in comfort by mapping out green streets and pathways which connect shopping centres, public transport stops and public spaces.","Greater Sydney Commission has a vision for a connected Green Grid across Greater Metropolitan Sydney.
Already, GSC has used the Urban Heat & Green Cover (UH&GC) datasets, produced by DPIE Climate Research, to map the exposure of communities to urban heat and their proximity to green spaces in a baseline report, [Pulse of Greater Sydney: Measuring what matters in the Metropolis](https://www.greater.sydney/pulse-of-greater-sydney).
But people stand to benefit from a user-friendly tool which puts this information in their hands and enables them to plan comfortable green routes across the city on public transport and along walkways. Equipped with green maps in their pockets, people can prepare for, manage and adapt to rising heatwaves and urban heat
",Must use at least the Urban Heat & Green Cover dataset(s) from the SEED portal. ,"",2019-09-06 04:38:07 +1000,2019-09-06 04:38:07 +1000,"[""Department of Planning, Industry and Environment""]"
Western Australia,2019,180,Why is “placemaking” important for local communities?,"A strong community is created through creating a “sense of place” through engagement with the community, partnerships with businesses and industry","Local government authorities provide a broad range of services for the community, aimed at improving liveability. A strong community is created through creating a “sense of place” through engagement with the community, partnerships with businesses and industry and a long view for improved outcomes for the physical, emotional, mental and environmental outcomes for local communities. 

A great deal of emphasis is placed nowadays on the development of precincts in community and regional development. These might be cultural and creative; industrial; manufacturing; tourism and or agricultural. 

What data is available, and can we develop a tool to measure or simulate the value / benefits these initiatives bring to our local community in both social and economic terms that can be utilised for refining and directing future policy, strategy and allocation of funding.",Western Australian competitors,"",2019-09-06 17:10:16 +1000,2019-09-06 19:44:29 +1000,[]
